id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-08-14 09:40:06,"{""short_code"":""U23KcS"",""original_url"":""https://acme.dev/ivory/river/1""}"
2,2,394,created,2025-08-03 21:36:43,"{""short_code"":""Hy8QZw"",""original_url"":""https://hackstack.io/amber/beacon/2""}"
3,3,128,created,2025-04-17 06:52:26,"{""short_code"":""Cqj8q0"",""original_url"":""https://relay.cloud/harbor/quartz/3""}"
4,4,297,created,2025-11-09 01:58:35,"{""short_code"":""nI0ZQE"",""original_url"":""https://seeded.app/proud/beacon/4""}"
5,5,247,created,2025-04-04 18:29:52,"{""short_code"":""nfV206"",""original_url"":""https://opswise.net/tidy/zenith/5""}"
6,6,378,created,2025-08-01 05:02:04,"{""short_code"":""fTzuKh"",""original_url"":""https://hackstack.io/keen/lagoon/6""}"
7,7,159,created,2025-03-19 22:48:36,"{""short_code"":""ZJQXFg"",""original_url"":""https://example.com/gold/delta/7""}"
8,8,17,created,2026-02-05 01:40:14,"{""short_code"":""OdQ0Sx"",""original_url"":""https://opswise.net/cobalt/island/8""}"
9,9,51,created,2025-01-12 13:34:44,"{""short_code"":""ZWqXDY"",""original_url"":""https://opswise.net/proud/island/9""}"
10,10,368,created,2025-01-05 00:33:04,"{""short_code"":""QKAnsA"",""original_url"":""https://seeded.app/opal/canyon/10""}"
11,11,237,created,2025-06-07 03:35:25,"{""short_code"":""Cp3YiU"",""original_url"":""https://relay.cloud/gold/engine/11""}"
12,12,228,created,2025-06-08 08:12:51,"{""short_code"":""FCZePC"",""original_url"":""https://example.com/tidy/canyon/12""}"
13,13,57,created,2025-02-26 18:28:36,"{""short_code"":""BzbBS3"",""original_url"":""https://seeded.app/jade/pioneer/13""}"
14,14,337,created,2026-02-17 21:20:43,"{""short_code"":""Mp4NqF"",""original_url"":""https://seeded.app/harbor/island/14""}"
15,15,260,created,2025-02-01 23:49:08,"{""short_code"":""oAullP"",""original_url"":""https://relay.cloud/quiet/signal/15""}"
16,16,271,created,2025-06-22 15:27:44,"{""short_code"":""FZ3ogD"",""original_url"":""https://opswise.net/tidy/canyon/16""}"
17,17,188,created,2025-10-20 06:28:00,"{""short_code"":""DJ7GAq"",""original_url"":""https://example.com/vivid/beacon/17""}"
18,18,317,created,2025-09-30 00:03:49,"{""short_code"":""kqH1va"",""original_url"":""https://seeded.app/keen/lagoon/18""}"
19,19,248,created,2025-11-25 08:27:02,"{""short_code"":""Y6TR0c"",""original_url"":""https://acme.dev/ivory/window/19""}"
20,20,201,created,2025-05-23 22:44:42,"{""short_code"":""0xKTzT"",""original_url"":""https://hackstack.io/warm/river/20""}"
21,21,44,created,2025-01-08 02:24:08,"{""short_code"":""9VtxQG"",""original_url"":""https://hackstack.io/lively/yard/21""}"
22,22,121,created,2025-12-05 12:44:44,"{""short_code"":""G0TFUU"",""original_url"":""https://opswise.net/calm/uplink/22""}"
23,23,308,created,2025-06-15 21:23:14,"{""short_code"":""qHOrCC"",""original_url"":""https://hackstack.io/calm/beacon/23""}"
24,24,26,created,2025-07-22 14:00:28,"{""short_code"":""3uV0Dc"",""original_url"":""https://acme.dev/quiet/signal/24""}"
25,25,15,created,2026-02-15 06:53:08,"{""short_code"":""lBe6as"",""original_url"":""https://hackstack.io/harbor/engine/25""}"
26,26,29,created,2025-06-28 21:35:42,"{""short_code"":""woHrCP"",""original_url"":""https://hackstack.io/amber/orbit/26""}"
27,27,47,created,2025-07-27 21:18:16,"{""short_code"":""NgZTXn"",""original_url"":""https://opswise.net/mellow/canyon/27""}"
28,28,313,created,2025-03-02 23:16:10,"{""short_code"":""dAtYmH"",""original_url"":""https://example.com/rapid/journey/28""}"
29,29,301,created,2026-01-25 03:50:52,"{""short_code"":""yeMMda"",""original_url"":""https://relay.cloud/proud/journey/29""}"
30,30,130,created,2026-02-08 23:09:01,"{""short_code"":""VOUThw"",""original_url"":""https://example.com/tidy/journey/30""}"
31,31,148,created,2025-08-14 16:20:01,"{""short_code"":""fcsZyU"",""original_url"":""https://example.com/opal/uplink/31""}"
32,32,55,created,2025-08-20 17:11:13,"{""short_code"":""MRxfVq"",""original_url"":""https://example.com/calm/journey/32""}"
33,33,344,created,2026-02-01 13:35:01,"{""short_code"":""nc0cuT"",""original_url"":""https://seeded.app/keen/lagoon/33""}"
34,34,292,created,2026-01-16 08:03:11,"{""short_code"":""6Kkw0Q"",""original_url"":""https://opswise.net/mellow/yard/34""}"
35,35,69,created,2025-08-15 07:56:18,"{""short_code"":""oOOcLg"",""original_url"":""https://relay.cloud/keen/harvest/35""}"
36,36,237,created,2025-10-23 21:55:45,"{""short_code"":""oYp3z0"",""original_url"":""https://acme.dev/ember/canyon/36""}"
37,37,113,created,2026-02-05 05:37:05,"{""short_code"":""LKXLfW"",""original_url"":""https://hackstack.io/calm/zenith/37""}"
38,38,380,created,2025-11-11 07:25:33,"{""short_code"":""PA1xtI"",""original_url"":""https://relay.cloud/young/canyon/38""}"
39,39,296,created,2025-09-06 09:58:02,"{""short_code"":""J1zlkr"",""original_url"":""https://relay.cloud/harbor/zenith/39""}"
40,40,19,created,2025-06-25 08:34:20,"{""short_code"":""FGrXqa"",""original_url"":""https://acme.dev/brisk/uplink/40""}"
41,41,164,created,2025-12-06 12:21:22,"{""short_code"":""3Kj3xA"",""original_url"":""https://relay.cloud/rapid/engine/41""}"
42,42,270,created,2025-12-13 12:39:06,"{""short_code"":""cdC1qQ"",""original_url"":""https://acme.dev/brisk/quartz/42""}"
43,43,370,created,2025-09-29 13:30:49,"{""short_code"":""1EXZlS"",""original_url"":""https://relay.cloud/navy/river/43""}"
44,44,316,created,2026-02-01 13:12:41,"{""short_code"":""kXSfiT"",""original_url"":""https://hackstack.io/lively/anchor/44""}"
45,45,302,created,2025-06-20 17:04:05,"{""short_code"":""Kg8LzF"",""original_url"":""https://example.com/clear/signal/45""}"
46,46,291,created,2025-03-18 04:12:44,"{""short_code"":""r8M7pT"",""original_url"":""https://acme.dev/navy/trail/46""}"
47,47,88,created,2025-12-08 09:19:21,"{""short_code"":""hxnmOf"",""original_url"":""https://acme.dev/warm/orbit/47""}"
48,48,296,created,2025-01-23 22:43:38,"{""short_code"":""JC6p1L"",""original_url"":""https://seeded.app/cobalt/orbit/48""}"
49,49,64,created,2026-01-16 10:23:38,"{""short_code"":""E218sd"",""original_url"":""https://seeded.app/jade/meadow/49""}"
50,50,88,created,2025-10-19 11:04:21,"{""short_code"":""ERcOGw"",""original_url"":""https://relay.cloud/cobalt/window/50""}"
51,51,204,created,2025-12-28 12:56:29,"{""short_code"":""73FDP5"",""original_url"":""https://example.com/cobalt/journey/51""}"
52,52,147,created,2025-01-08 07:18:46,"{""short_code"":""GvFgnd"",""original_url"":""https://relay.cloud/silver/harvest/52""}"
53,53,317,created,2025-02-17 13:52:52,"{""short_code"":""1CgSS3"",""original_url"":""https://example.com/tidy/valley/53""}"
54,54,303,created,2025-10-25 06:51:56,"{""short_code"":""3br1zz"",""original_url"":""https://relay.cloud/silver/quartz/54""}"
55,55,298,created,2025-07-06 23:37:33,"{""short_code"":""HaXC1z"",""original_url"":""https://relay.cloud/ember/quartz/55""}"
56,56,146,created,2025-11-14 08:39:52,"{""short_code"":""A80eHy"",""original_url"":""https://seeded.app/forest/journey/56""}"
57,57,343,created,2025-08-04 21:11:26,"{""short_code"":""Zjv5Ao"",""original_url"":""https://acme.dev/urban/beacon/57""}"
58,58,345,created,2025-07-06 23:12:21,"{""short_code"":""FH0lW5"",""original_url"":""https://hackstack.io/clear/island/58""}"
59,59,131,created,2025-04-07 18:28:50,"{""short_code"":""4ozZlR"",""original_url"":""https://hackstack.io/silver/lagoon/59""}"
60,60,220,created,2025-01-14 05:12:38,"{""short_code"":""Euzh9j"",""original_url"":""https://example.com/ivory/window/60""}"
61,61,116,created,2026-01-03 19:06:16,"{""short_code"":""hYhCUY"",""original_url"":""https://acme.dev/ivory/anchor/61""}"
62,62,229,created,2025-09-23 13:58:29,"{""short_code"":""lxqAA6"",""original_url"":""https://example.com/cobalt/window/62""}"
63,63,41,created,2025-05-20 08:56:26,"{""short_code"":""t8ekkn"",""original_url"":""https://example.com/cobalt/window/63""}"
64,64,204,created,2025-02-07 15:53:42,"{""short_code"":""SilkeU"",""original_url"":""https://example.com/clear/uplink/64""}"
65,65,136,created,2026-02-10 08:45:05,"{""short_code"":""z5rSjJ"",""original_url"":""https://opswise.net/cobalt/journey/65""}"
66,66,232,created,2026-02-14 11:04:47,"{""short_code"":""qeM44a"",""original_url"":""https://hackstack.io/silver/field/66""}"
67,67,263,created,2025-08-25 09:26:44,"{""short_code"":""sp8pZZ"",""original_url"":""https://relay.cloud/rapid/uplink/67""}"
68,68,293,created,2025-05-29 06:42:31,"{""short_code"":""TnTGzY"",""original_url"":""https://hackstack.io/harbor/delta/68""}"
69,69,219,created,2025-09-17 13:27:17,"{""short_code"":""9dtiZP"",""original_url"":""https://relay.cloud/forest/valley/69""}"
